relation_idx,word1,word2,option_1,option_2,relation_name,relation_category,trial_type,correct_response,trial_idx
-1,baseline,baseline,,,baseline,baseline,baseline,,1
30,battery,phone,,,EnablingAgent:Object,CAUSE-PURPOSE,example,,2
30,motor,fan,,,EnablingAgent:Object,CAUSE-PURPOSE,example,,2
30,oil,lamp,,,EnablingAgent:Object,CAUSE-PURPOSE,example,,2
30,detergent,dishwasher,,,EnablingAgent:Object,CAUSE-PURPOSE,example,,2
30,chemical,firework,firework,match,EnablingAgent:Object,CAUSE-PURPOSE,probe,1.0,2
32,boast,pride,,,Expression,REFERENCE,example,,3
32,wail,despair,,,Expression,REFERENCE,example,,3
32,clap,approval,,,Expression,REFERENCE,example,,3
32,tears,sorrow,,,Expression,REFERENCE,example,,3
32,whine,dissatisfaction,dissatisfaction,boredom,Expression,REFERENCE,probe,1.0,3
-1,baseline,baseline,,,baseline,baseline,baseline,,4
49,bulletproof,pierced,,,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,example,,5
49,irreparable,fixed,,,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,example,,5
49,infallible,mistaken,,,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,example,,5
49,inflexible,bent,,,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,example,,5
49,unforgettable,forgotten,overlooked,forgotten,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,probe,2.0,5
32,sulk,resentment,,,Expression,REFERENCE,example,,6
32,salute,deference,,,Expression,REFERENCE,example,,6
32,tremble,fear,,,Expression,REFERENCE,example,,6
32,apologize,remorse,,,Expression,REFERENCE,example,,6
32,taunt,mockery,insult,mockery,Expression,REFERENCE,probe,2.0,6
-1,baseline,baseline,,,baseline,baseline,baseline,,7
49,insatiable,satisfied,,,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,example,,8
49,irresistible,withstood,,,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,example,,8
49,impregnable,conquered,,,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,example,,8
49,incorrigible,reformed,,,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,example,,8
49,inseparable,parted,friendship,parted,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,probe,2.0,8
30,rain,crop,,,EnablingAgent:Object,CAUSE-PURPOSE,example,,9
30,gas,furnace,,,EnablingAgent:Object,CAUSE-PURPOSE,example,,9
30,key,lock,,,EnablingAgent:Object,CAUSE-PURPOSE,example,,9
30,paper,printer,,,EnablingAgent:Object,CAUSE-PURPOSE,example,,9
30,sand,hourglass,hourglass,glass,EnablingAgent:Object,CAUSE-PURPOSE,probe,1.0,9
32,slouch,laziness,,,Expression,REFERENCE,example,,10
32,pace,worry,,,Expression,REFERENCE,example,,10
32,growl,aggression,,,Expression,REFERENCE,example,,10
32,slam,rage,,,Expression,REFERENCE,example,,10
32,laugh,happiness,mockery,happiness,Expression,REFERENCE,probe,2.0,10
31,sleepover,pajamas,,,Event:Feature,PART-WHOLE,example,,11
31,interview,candidate,,,Event:Feature,PART-WHOLE,example,,11
31,marathon,runners,,,Event:Feature,PART-WHOLE,example,,11
31,potluck,casserole,,,Event:Feature,PART-WHOLE,example,,11
31,camping trip,tent,tent,couch,Event:Feature,PART-WHOLE,probe,1.0,11
49,incorruptible,bribed,,,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,example,,12
49,unsolvable,solved,,,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,example,,12
49,inescapable,avoided,,,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,example,,12
49,irreplaceable,substituted,,,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,example,,12
49,fearless,intimidated,intimidated,lion,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,probe,1.0,12
30,helium,balloon,,,EnablingAgent:Object,CAUSE-PURPOSE,example,,13
30,snow,ski,,,EnablingAgent:Object,CAUSE-PURPOSE,example,,13
30,electricity,television,,,EnablingAgent:Object,CAUSE-PURPOSE,example,,13
30,steam,engine,,,EnablingAgent:Object,CAUSE-PURPOSE,example,,13
30,thread,loom,loom,weaver,EnablingAgent:Object,CAUSE-PURPOSE,probe,1.0,13
32,giggle,nervousness,,,Expression,REFERENCE,example,,14
32,lie,dishonesty,,,Expression,REFERENCE,example,,14
32,nod,agreement,,,Expression,REFERENCE,example,,14
32,kiss,love,,,Expression,REFERENCE,example,,14
32,snub,disdain,disdain,anger,Expression,REFERENCE,probe,1.0,14
31,pep rally,cheerleaders,,,Event:Feature,PART-WHOLE,example,,15
31,auction,auctioneer,,,Event:Feature,PART-WHOLE,example,,15
31,Thanksgiving,turkey,,,Event:Feature,PART-WHOLE,example,,15
31,workshop,tools,,,Event:Feature,PART-WHOLE,example,,15
31,scavenger hunt,clues,clues,prize,Event:Feature,PART-WHOLE,probe,1.0,15
-1,baseline,baseline,,,baseline,baseline,baseline,,16
49,odorless,smelled,,,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,example,,17
49,eternal,ended,,,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,example,,17
49,immortal,killed,,,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,example,,17
